timestamp,rule,column,investment_id,before,after,note
2026-04-12T17:27:32.887548,R1_numeric_null,monthly_may_2025,408502,nan,0,null/junk → 0
2026-04-12T17:27:32.887560,R1_numeric_null,monthly_may_2025,408520,nan,0,null/junk → 0
2026-04-12T17:27:32.887566,R1_numeric_null,monthly_may_2025,408522,nan,0,null/junk → 0
2026-04-12T17:27:32.887572,R1_numeric_null,monthly_may_2025,408523,nan,0,null/junk → 0
2026-04-12T17:27:32.887578,R1_numeric_null,monthly_may_2025,408469,nan,0,null/junk → 0
2026-04-12T17:27:32.893762,R1_numeric_null,monthly_jun_2025,408502,nan,0,null/junk → 0
2026-04-12T17:27:32.893774,R1_numeric_null,monthly_jun_2025,408520,nan,0,null/junk → 0
2026-04-12T17:27:32.893781,R1_numeric_null,monthly_jun_2025,408522,nan,0,null/junk → 0
2026-04-12T17:27:32.893788,R1_numeric_null,monthly_jun_2025,408523,nan,0,null/junk → 0
2026-04-12T17:27:32.893797,R1_numeric_null,monthly_jun_2025,408469,nan,0,null/junk → 0
2026-04-12T17:27:32.899795,R1_numeric_null,monthly_jul_2025,408502,nan,0,null/junk → 0
2026-04-12T17:27:32.899806,R1_numeric_null,monthly_jul_2025,408520,nan,0,null/junk → 0
2026-04-12T17:27:32.899812,R1_numeric_null,monthly_jul_2025,408522,nan,0,null/junk → 0
2026-04-12T17:27:32.899818,R1_numeric_null,monthly_jul_2025,408523,nan,0,null/junk → 0
2026-04-12T17:27:32.899825,R1_numeric_null,monthly_jul_2025,408469,nan,0,null/junk → 0
2026-04-12T17:27:32.905778,R1_numeric_null,monthly_aug_2025,408502,nan,0,null/junk → 0
2026-04-12T17:27:32.905788,R1_numeric_null,monthly_aug_2025,408520,nan,0,null/junk → 0
2026-04-12T17:27:32.905795,R1_numeric_null,monthly_aug_2025,408522,nan,0,null/junk → 0
2026-04-12T17:27:32.905801,R1_numeric_null,monthly_aug_2025,408523,nan,0,null/junk → 0
2026-04-12T17:27:32.905807,R1_numeric_null,monthly_aug_2025,408469,nan,0,null/junk → 0
2026-04-12T17:27:32.911841,R1_numeric_null,monthly_sep_2025,408502,nan,0,null/junk → 0
2026-04-12T17:27:32.911855,R1_numeric_null,monthly_sep_2025,408523,nan,0,null/junk → 0
2026-04-12T17:27:32.911862,R1_numeric_null,monthly_sep_2025,408469,nan,0,null/junk → 0
2026-04-12T17:27:32.911869,R1_numeric_null,monthly_sep_2025,408473,nan,0,null/junk → 0
2026-04-12T17:27:32.911875,R1_numeric_null,monthly_sep_2025,408475,nan,0,null/junk → 0
2026-04-12T17:27:32.917917,R1_numeric_null,monthly_oct_2025,408502,nan,0,null/junk → 0
